MED_DEPOTLEGAL;MED_NOMCOMMERCIAL;FAM_CODE;MED_COMPOSITION;MED_EFFETS;MED_CONTREINDIC;MED_PRIXECHANTILLON
3MYC7;TRIMYCINE;CRT;Triamcinolone (acétonide) + Néomycine + Nystatine;Ce médicament est un corticoïde à  activité forte ou très forte associé à  un antibiotique et un antifongique, utilisé en application locale dans certaines atteintes cutanées surinfectées.;Ce médicament est contre-indiqué en cas d'allergie à  l'un des constituants, d'infections de la peau ou de parasitisme non traités, d'acné. Ne pas appliquer sur une plaie, ni sous un pansement occlusif.;
ADIMOL9;ADIMOL;ABP;Amoxicilline + Acide clavulanique;Ce médicament, plus puissant que les pénicillines simples, est utilisé pour traiter des infections bactériennes spécifiques.;Ce médicament est contre-indiqué en cas d'allergie aux pénicillines ou aux céphalosporines.;
AMOPIL7;AMOPIL;ABP;Amoxicilline;Ce médicament, plus puissant que les pénicillines simples, est utilisé pour traiter des infections bactériennes spécifiques.;Ce médicament est contre-indiqué en cas d'allergie aux pénicillines. Il doit être administré avec prudence en cas d'allergie aux céphalosporines.;
AMOX45;AMOXAR;ABP;Amoxicilline;Ce médicament, plus puissant que les pénicillines simples, est utilisé pour traiter des infections bactériennes spécifiques.;La prise de ce médicament peut rendre positifs les tests de dépistage du dopage.;
AMOXIG12;AMOXI Gé;ABP;Amoxicilline;Ce médicament, plus puissant que les pénicillines simples, est utilisé pour traiter des infections bactériennes spécifiques.;Ce médicament est contre-indiqué en cas d'allergie aux pénicillines. Il doit être administré avec prudence en cas d'allergie aux céphalosporines.;
APATOUX22;APATOUX Vitamine C;ALO;Tyrothricine + Tétracaïne + Acide ascorbique (Vitamine C);Ce médicament est utilisé pour traiter les affections de la bouche et de la gorge.;Ce médicament est contre-indiqué en cas d'allergie à  l'un des constituants, en cas de phénylcétonurie et chez l'enfant de moins de 6 ans.;
BACTIG10;BACTIGEL;ABC;Erythromycine;Ce médicament est utilisé en application locale pour traiter l'acné et les infections cutanées bactériennes associées.;Ce médicament est contre-indiqué en cas d'allergie aux antibiotiques de la famille des macrolides ou des lincosanides.;
BACTIV13;BACTIVIL;AFM;Erythromycine;Ce médicament est utilisé pour traiter des infections bactériennes spécifiques.;Ce médicament est contre-indiqué en cas d'allergie aux macrolides (dont le chef de file est l'érythromycine).;
BITALV;BIVALIC;AAA;Dextropropoxyphène + Paracétamol;Ce médicament est utilisé pour traiter les douleurs d'intensité modérée ou intense.;Ce médicament est contre-indiqué en cas d'allergie aux médicaments de cette famille, d'insuffisance hépatique ou d'insuffisance rénale.;
CARTION6;CARTION;AAA;Acide acétylsalicylique (aspirine) + Acide ascorbique (Vitamine C) + Paracétamol;Ce médicament est utilisé dans le traitement symptomatique de la douleur ou de la fièvre.;Ce médicament est contre-indiqué en cas de troubles de la coagulation (tendances aux hémorragies), d'ulcère gastroduodénal, maladies graves du foie.;
CLAZER6;CLAZER;AFM;Clarithromycine;Ce médicament est utilisé pour traiter des infections bactériennes spécifiques. Il est également utilisé dans le traitement de l'ulcère gastro-duodénal, en association avec d'autres médicaments.;Ce médicament est contre-indiqué en cas d'allergie aux macrolides (dont le chef de file est l'érythromycine).;
DEPRIL9;DEPRAMIL;AIM;Clomipramine;Ce médicament est utilisé pour traiter les épisodes dépressifs sévères, certaines douleurs rebelles, les troubles obsessionnels compulsifs et certaines énurésies chez l'enfant.;Ce médicament est contre-indiqué en cas de glaucome ou d'adénome de la prostate, d'infarctus récent, ou si vous avez reà§u un traitement par IMAO durant les 2 semaines précédentes ou en cas d'allergie aux antidépresseurs imipraminiques.;
DIMIRTAM6;DIMIRTAM;AAC;Mirtazapine;Ce médicament est utilisé pour traiter les épisodes dépressifs sévères.;La prise de ce produit est contre-indiquée en cas de d'allergie à  l'un des constituants.;
DOLRIL7;DOLORIL;AAA;Acide acétylsalicylique (aspirine) + Acide ascorbique (Vitamine C) + Paracétamol;Ce médicament est utilisé dans le traitement symptomatique de la douleur ou de la fièvre.;Ce médicament est contre-indiqué en cas d'allergie au paracétamol ou aux salicylates.;
DORNOM8;NORMADOR;HYP;Doxylamine;Ce médicament est utilisé pour traiter l'insomnie chez l'adulte.;Ce médicament est contre-indiqué en cas de glaucome, de certains troubles urinaires (rétention urinaire) et chez l'enfant de moins de 15 ans.;
EQUILARX6;EQUILAR;AAH;Méclozine;Ce médicament est utilisé pour traiter les vertiges et pour prévenir le mal des transports.;Ce médicament ne doit pas être utilisé en cas d'allergie au produit, en cas de glaucome ou de rétention urinaire.;
EVILR7;EVEILLOR;PSA;Adrafinil;Ce médicament est utilisé pour traiter les troubles de la vigilance et certains symptomes neurologiques chez le sujet agé.;Ce médicament est contre-indiqué en cas d'allergie à  l'un des constituants.;
INSXT5;INSECTIL;AH;Diphénydramine;Ce médicament est utilisé en application locale sur les piqûres d'insecte et l'urticaire.;Ce médicament est contre-indiqué en cas d'allergie aux antihistaminiques.;
JOVAI8;JOVENIL;AFM;Josamycine;Ce médicament est utilisé pour traiter des infections bactériennes spécifiques.;Ce médicament est contre-indiqué en cas d'allergie aux macrolides (dont le chef de file est l'érythromycine).;
LIDOXY23;LIDOXYTRACINE;AFC;Oxytétracycline +Lidocaïne;Ce médicament est utilisé en injection intramusculaire pour traiter certaines infections spécifiques.;Ce médicament est contre-indiqué en cas d'allergie à  l'un des constituants. Il ne doit pas être associé aux rétinoïdes.;
LITHOR12;LITHORINE;AP;Lithium;Ce médicament est indiqué dans la prévention des psychoses maniaco-dépressives ou pour traiter les états maniaques.;Ce médicament ne doit pas être utilisé si vous êtes allergique au lithium. Avant de prendre ce traitement, signalez à  votre médecin traitant si vous souffrez d'insuffisance rénale, ou si vous avez un régime sans sel.;
PARMOL16;PARMOCODEINE;AA;Codéine + Paracétamol;Ce médicament est utilisé pour le traitement des douleurs lorsque des antalgiques simples ne sont pas assez efficaces.;Ce médicament est contre-indiqué en cas d'allergie à  l'un des constituants, chez l'enfant de moins de 15 Kg, en cas d'insuffisance hépatique ou respiratoire, d'asthme, de phénylcétonurie et chez la femme qui allaite.;
PHYSOI8;PHYSICOR;PSA;Sulbutiamine;Ce médicament est utilisé pour traiter les baisses d'activité physique ou psychique, souvent dans un contexte de dépression.;Ce médicament est contre-indiqué en cas d'allergie à  l'un des constituants.;
PIRIZ8;PIRIZAN;ABA;Pyrazinamide;Ce médicament est utilisé, en association à  d'autres antibiotiques, pour traiter la tuberculose.;Ce médicament est contre-indiqué en cas d'allergie à  l'un des constituants, d'insuffisance rénale ou hépatique, d'hyperuricémie ou de porphyrie.;
POMDI20;POMADINE;AO;Bacitracine;Ce médicament est utilisé pour traiter les infections oculaires de la surface de l'oeil.;Ce médicament est contre-indiqué en cas d'allergie aux antibiotiques appliqués localement.;
TROXT21;TROXADET;AIN;Paroxétine;Ce médicament est utilisé pour traiter la dépression et les troubles obsessionnels compulsifs. Il peut également être utilisé en prévention des crises de panique avec ou sans agoraphobie.;Ce médicament est contre-indiqué en cas d'allergie au produit.;
TXISOL22;TOUXISOL Vitamine C;ALO;Tyrothricine + Acide ascorbique (Vitamine C);Ce médicament est utilisé pour traiter les affections de la bouche et de la gorge.;Ce médicament est contre-indiqué en cas d'allergie à  l'un des constituants et chez l'enfant de moins de 6 ans.;
URIEG6;URIREGUL;AUM;Fosfomycine trométamol;Ce médicament est utilisé pour traiter les infections urinaires simples chez la femme de moins de 65 ans.;La prise de ce médicament est contre-indiquée en cas d'allergie à  l'un des constituants et d'insuffisance rénale.;
